Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,24.329748,25.431995,24.204798,25.235643,24.265274,15741176
2015-07-02,25.257956,25.548021,25.128544,25.253494,24.282438,6092007
2015-07-03,25.249031,25.329357,24.883102,25.146393,24.179457,5842070
2015-07-06,24.459162,24.726915,24.133396,24.405613,23.467159,10671580
2015-07-07,24.485937,24.543951,23.803169,23.829945,22.913630,8679453
2015-07-08,23.785318,24.204798,23.687143,24.012909,23.089558,7184883
2015-07-09,24.120010,24.722452,24.061996,24.463625,23.522943,7416050
2015-07-10,25.088381,25.561409,25.079454,25.463234,24.484114,9727875
2015-07-13,25.882711,26.395903,25.762222,26.311115,25.299393,10500487
2015-07-14,26.306652,26.538704,26.199553,26.511929,25.492483,6162401
2015-07-15,26.480692,26.828770,26.471766,26.775219,25.745649,6773794
2015-07-16,26.953720,27.368736,26.918020,27.221474,26.174746,9085646
2015-07-17,27.301798,27.306261,26.944796,27.154533,26.110378,6004809
2015-07-20,27.042971,27.632027,27.042971,27.578476,26.518021,6117803
2015-07-21,27.502611,27.591864,27.167921,27.341961,26.290598,5552792
2015-07-22,27.042971,27.574013,26.873396,27.426748,26.372128,5138260
2015-07-23,27.444599,27.788216,27.426748,27.640951,26.578093,6682820
2015-07-24,27.640951,27.748053,27.364273,27.364273,26.312054,5918233
2015-07-27,27.034046,27.038509,26.190626,26.279877,25.269356,10382191
2015-07-28,26.453917,26.851082,26.369127,26.726131,25.698450,6123409
2015-07-29,26.873396,27.007271,26.565479,27.007271,25.968781,5872866
2015-07-30,27.801601,28.457596,27.591864,28.426357,27.333298,16235666
2015-07-31,28.292480,28.604858,28.207693,28.578085,27.479191,10902844
2015-08-03,28.368343,28.832447,28.332644,28.546846,27.449152,7215561
2015-08-04,28.506683,28.533459,27.685575,27.810528,26.741148,8167056
2015-08-05,27.975641,28.073816,27.881927,28.029192,26.951405,6093998
2015-08-06,27.935478,27.971178,27.730202,27.756977,26.689657,4938299
2015-08-07,27.756977,27.899778,27.382124,27.453524,26.397871,5036346
2015-08-10,27.538313,27.596327,27.123297,27.542774,26.483690,4474773
2015-08-11,27.538313,27.560625,26.953720,26.989422,25.951616,5845701
2015-08-12,26.775219,26.837694,25.788998,25.855936,24.861715,9152493
2015-08-13,26.342354,26.520855,26.096912,26.190626,25.183537,5850369
2015-08-14,26.043364,26.137075,25.561409,25.842548,24.848841,6623721
2015-08-17,25.927338,26.297728,25.409683,25.695286,24.707243,5868291
2015-08-18,25.695286,25.838085,25.570333,25.659586,24.672915,3477902
2015-08-19,25.507858,25.744373,25.217794,25.217794,24.248112,4796451
2015-08-20,25.025906,25.342745,24.392223,24.463625,23.522943,8307149
2015-08-21,23.977207,24.445774,23.624668,23.624668,22.716246,11187985
2015-08-24,22.883886,23.026688,21.241674,21.977991,21.132885,26963111
2015-08-25,22.401934,23.486328,22.160955,23.347992,22.450207,17001920
2015-08-26,23.115938,23.446167,22.691998,22.968676,22.085478,10592504
2015-08-27,23.682680,23.937046,23.481867,23.749619,22.836390,8100097
2015-08-28,23.687143,23.722843,23.321217,23.539881,22.634718,5158283
2015-08-31,23.423855,23.517567,23.098089,23.450628,22.548899,5196002
2015-09-01,23.049002,23.227503,22.589359,22.834799,21.956749,8080043
2015-09-02,22.879423,23.205191,22.620598,22.848186,21.969620,5189467
2015-09-03,23.115938,23.910271,22.928513,23.651443,22.741991,9308674
